Name;Latitude;Longitude
Narela ITI / Narela Depot;28.820295;77.101135
DSIDC Narela;28.821204;77.100678
Bhor Garh;28.829162;77.094509
Babu Jag Jeevan Ram Colony;28.833012;77.093266
Old Anaj Mandi;28.845686;77.08874399999998
Narela Primary School;28.846917;77.088291
Keshav Nagar Mukti Ashram;28.779253000000004;77.179936
Ibrahim Pur More;28.775793;77.17966899999998
Natthupura Crossing Terminal;28.768883;77.18078299999998
Amrit Vihar Colony;28.7645;77.1838
Koushik Enclave;28.761167;77.18871700000003
Laxmi Vihar;28.76015;77.1910833333333
Ekta Garden- Harijan Basti;28.7555;77.1983
Burari Village;28.7541;77.199
Sarvodhya Vidhyalay Burari;28.7492333333333;77.1985666666667
Balti Factory;28.7467;77.1983
Sant Nagar Main Market;28.7418;77.19800000000002
Sant Nagar A-1;28.7377;77.1973
Jharoda Dairy Crossing;28.734483;77.197717
Burari Transport Authority;28.730567;77.19846700000002
Nirankari Sarover- Burari Xing;28.72773;77.19806700000002
CV Raman ITI;28.72095;77.20015
Nirankari Colony;28.714883;77.2041
Radio Colony;28.7112333333333;77.2045
Dhaka Village;28.706789;77.20473299999998
Balmiki Gandhi Ashram;28.70458;77.205033
TB Hospital;28.700567;77.205017
GTB Nagar;28.698267;77.206457
Khyber Pass;28.6902;77.2214
Vidhan Sabha Metro Station;28.68775;77.22165
Old Secretariat (Postal Account Office);28.683883333333306;77.22228333333331
IP College;28.680515000000003;77.223439
Exchange Store / Civil Lines Metro Station;28.676717;77.225033
Ludlow Castle;28.6724;77.226
ISBT Nityanand Marg;28.668217;77.2253
Natthupura Terminal;28.768915000000003;77.18095
Burari Garhi;28.7578;77.1952
Sant Nagar A-1;28.7387;77.1975
GTB Nagar / Haqiqat Nagar;28.698283;77.2076
Sewa Kutir;28.70265;77.2098166666667
BBM Cluster Depot;28.704317;77.21118299999998
Madanpur Khadar JJ Colony;28.532504;77.314937
Madanpur Khadar Crossing;28.531925;77.304505
Kalindi Kunj Metro Station;28.543017;77.309483
Kalindi Kunj;28.545083;77.306217
Shaheen Bagh;28.542817;77.30305
Jasola Vihar;28.5404;77.2968
Sarita Vihar K Block;28.538333;77.29186700000002
Apollo Hospital;28.5396;77.2825
Harkesh Nagar;28.543767;77.2793
Okhla Tank;28.548017;77.276567
CRRI;28.551067;77.27395
Sukhdev Vihar Depot;28.554867;77.27125
Kalkaji Xing;28.55795;77.26895
Ishwar Nagar;28.5616;77.266217
New Friends Colony;28.5667;77.2624
Ashram Chowk;28.57123300000001;77.259017
Ashram (Hari Nagar);28.574146;77.25683599999998
Bhogal;28.5828;77.2511
Bhogal (Jungpura);28.58465;77.249617
Nizamuddin Extension;28.589233;77.2463
Police Station Nizamuddin (Dargah);28.591667;77.244633
Ishpat Bhawan;28.5924;77.23675
JLN Stadium (Sunehripulla Depot);28.591833;77.232383
Lodhi Colony 18-Block;28.586733;77.22425
Lodhi Colony;28.584817;77.224533
Kushak Nallah Depot;28.580036;77.22513199999999
Madanpur Khadar Village;28.532280600000004;77.296803
Madanpur Khadar Crossing;28.52965;77.287933
Sarita Vihar;28.53205;77.286917
Nehru Nagar;28.568283;77.253917
Lajpat Nagar Ring Road;28.56533300000001;77.24845
Gupta Market;28.564833;77.241433
Gupta Market;28.56485;77.239667
MCKR Hospital;28.569167;77.23525
Defence Colony;28.573;77.237367
Pant Nagar;28.5841;77.2406
CGO Complex;28.587033;77.2408
Amir Khusro Park / Oberoi Hotel;28.596267;77.240433
Delhi Public School;28.598783;77.2406
Sunder Nagar;28.602217;77.2404
Zoo;28.6084;77.23995
National Stadium;28.61168300000001;77.23996700000002
ITPO Gate No. 3;28.6155;77.24015
Pragati Maidan Gate No. 5;28.618483;77.240183
Supreme Court;28.621517;77.24033299999998
Pragati Maidan Metro Station;28.623433;77.240567
ITO (Agarwal Chowk);28.628867;77.24115
Express Building;28.6339;77.2408
Delhi Gate;28.637267;77.24091700000002
Darya Ganj;28.644033;77.24035
Subhash Park;28.649317;77.23935
Jama Masjid;28.651317;77.237833
Red Fort;28.65405;77.23645
Old Delhi Railway Station;28.6579;77.2319
Sarang Pur Village;28.542754;76.888747
JhulJhuli Village;28.534792;76.904321
Jhul-Jhuli Check Post / Ghumanhera Crossing;28.535283000000003;76.90933299999998
Malik Pur Village Crossing;28.552333;76.907483
Ujwa Gaon;28.568783000000003;76.9067
Ujwa School;28.570387;76.90719
Samaspur Khalsa;28.578549;76.909937
Rawta Crossing;28.600355;76.915846
Surehra Crossing;28.604417;76.9324
Mitraon School;28.606975;76.93930999999998
Mitraon Village;28.608213;76.94733599999998
